Data: torch.Size([1, 1, 1000, 1000, 1000]) from full extents (1000, 1000, 1000). IO time loading data:  3.9798
APMGSRN(
  (encoder): APMG_encoder()
  (decoder): Network(n_input_dims=64, n_output_dims=1, seed=1337, dtype=torch.float16, hyperparams={'encoding': {'offset': 0.0, 'otype': 'Identity', 'scale': 1.0}, 'network': {'activation': 'ReLU', 'n_hidden_layers': 2, 'n_neurons': 64, 'otype': 'FullyFusedMLP', 'output_activation': 'None'}, 'otype': 'NetworkWithInputEncoding'})
)
Training on cuda:0 C:\Users\Sky\Documents\GitHub\AMGSRN\Code\..\SavedModels\2grid_32feats
Iteration 0/50000, Fitting loss:  0.0460855 
Iteration 50/50000, Fitting loss:  0.0010710 
Iteration 100/50000, Fitting loss:  0.0008690 
Iteration 150/50000, Fitting loss:  0.0007472 
Iteration 200/50000, Fitting loss:  0.0006309 
Iteration 250/50000, Fitting loss:  0.0005799 
Iteration 300/50000, Fitting loss:  0.0005131 
Iteration 350/50000, Fitting loss:  0.0004642 
Iteration 400/50000, Fitting loss:  0.0004588 
Iteration 450/50000, Fitting loss:  0.0004297 
Iteration 500/50000, Fitting loss:  0.0004443 
Iteration 550/50000, Fitting loss:  0.0004045 Grid loss:  0.0000367 
Iteration 600/50000, Fitting loss:  0.0003872 Grid loss:  0.0000368 
Iteration 650/50000, Fitting loss:  0.0003920 Grid loss:  0.0000366 
Iteration 700/50000, Fitting loss:  0.0003380 Grid loss:  0.0000365 
Iteration 750/50000, Fitting loss:  0.0003589 Grid loss:  0.0000368 
Iteration 800/50000, Fitting loss:  0.0003284 Grid loss:  0.0000368 
Iteration 850/50000, Fitting loss:  0.0004071 Grid loss:  0.0000361 
Iteration 900/50000, Fitting loss:  0.0004309 Grid loss:  0.0000351 
Iteration 950/50000, Fitting loss:  0.0004894 Grid loss:  0.0000342 
Iteration 1000/50000, Fitting loss:  0.0005082 Grid loss:  0.0000333 
Iteration 1050/50000, Fitting loss:  0.0004264 Grid loss:  0.0000325 
Iteration 1100/50000, Fitting loss:  0.0004099 Grid loss:  0.0000326 
Iteration 1150/50000, Fitting loss:  0.0004041 Grid loss:  0.0000318 
Iteration 1200/50000, Fitting loss:  0.0003655 Grid loss:  0.0000309 
Iteration 1250/50000, Fitting loss:  0.0003431 Grid loss:  0.0000307 
Iteration 1300/50000, Fitting loss:  0.0003224 Grid loss:  0.0000300 
Iteration 1350/50000, Fitting loss:  0.0003642 Grid loss:  0.0000296 
Iteration 1400/50000, Fitting loss:  0.0003201 Grid loss:  0.0000293 
Iteration 1450/50000, Fitting loss:  0.0003184 Grid loss:  0.0000289 
Iteration 1500/50000, Fitting loss:  0.0003026 Grid loss:  0.0000294 
Iteration 1550/50000, Fitting loss:  0.0003126 Grid loss:  0.0000289 
Iteration 1600/50000, Fitting loss:  0.0003035 Grid loss:  0.0000285 
Iteration 1650/50000, Fitting loss:  0.0002915 Grid loss:  0.0000285 
Iteration 1700/50000, Fitting loss:  0.0002978 Grid loss:  0.0000286 
Iteration 1750/50000, Fitting loss:  0.0002875 Grid loss:  0.0000279 
Iteration 1800/50000, Fitting loss:  0.0003002 Grid loss:  0.0000278 
Iteration 1850/50000, Fitting loss:  0.0002909 Grid loss:  0.0000278 
Iteration 1900/50000, Fitting loss:  0.0002911 Grid loss:  0.0000280 
Iteration 1950/50000, Fitting loss:  0.0002775 Grid loss:  0.0000279 
Iteration 2000/50000, Fitting loss:  0.0002657 Grid loss:  0.0000274 
Iteration 2050/50000, Fitting loss:  0.0002995 Grid loss:  0.0000279 
Iteration 2100/50000, Fitting loss:  0.0003499 Grid loss:  0.0000255 
Iteration 2150/50000, Fitting loss:  0.0002381 Grid loss:  0.0000279 
Iteration 2200/50000, Fitting loss:  0.0002480 Grid loss:  0.0000279 
Iteration 2250/50000, Fitting loss:  0.0002696 Grid loss:  0.0000279 
Iteration 2300/50000, Fitting loss:  0.0002656 Grid loss:  0.0000274 
Iteration 2350/50000, Fitting loss:  0.0002768 Grid loss:  0.0000276 
Iteration 2400/50000, Fitting loss:  0.0002530 Grid loss:  0.0000275 
Iteration 2450/50000, Fitting loss:  0.0002432 Grid loss:  0.0000267 
Iteration 2500/50000, Fitting loss:  0.0002622 Grid loss:  0.0000265 
Iteration 2550/50000, Fitting loss:  0.0002400 Grid loss:  0.0000280 
Iteration 2600/50000, Fitting loss:  0.0002675 Grid loss:  0.0000280 
Iteration 2650/50000, Fitting loss:  0.0003032 Grid loss:  0.0000285 
