Data: torch.Size([1, 1, 1000, 1000, 1000]) from full extents (1000, 1000, 1000). IO time loading data:  3.8104
APMGSRN(
  (encoder): APMG_encoder()
  (decoder): Network(n_input_dims=32, n_output_dims=1, seed=1337, dtype=torch.float16, hyperparams={'encoding': {'offset': 0.0, 'otype': 'Identity', 'scale': 1.0}, 'network': {'activation': 'ReLU', 'n_hidden_layers': 2, 'n_neurons': 64, 'otype': 'FullyFusedMLP', 'output_activation': 'None'}, 'otype': 'NetworkWithInputEncoding'})
)
Training on cuda:0 C:\Users\Sky\Documents\GitHub\AMGSRN\Code\..\SavedModels\32feats_128grids
Iteration 0/50000, Fitting loss:  0.0460818 
Iteration 50/50000, Fitting loss:  0.0007341 
Iteration 100/50000, Fitting loss:  0.0006256 
Iteration 150/50000, Fitting loss:  0.0004474 
Iteration 200/50000, Fitting loss:  0.0004262 
Iteration 250/50000, Fitting loss:  0.0004107 
Iteration 300/50000, Fitting loss:  0.0003872 
Iteration 350/50000, Fitting loss:  0.0003679 
Iteration 400/50000, Fitting loss:  0.0003556 
Iteration 450/50000, Fitting loss:  0.0003558 
Iteration 500/50000, Fitting loss:  0.0003706 
Iteration 550/50000, Fitting loss:  0.0004029 Grid loss:  0.0000367 
Iteration 600/50000, Fitting loss:  0.0004829 Grid loss:  0.0000354 
Iteration 650/50000, Fitting loss:  0.0004829 Grid loss:  0.0000342 
Iteration 700/50000, Fitting loss:  0.0004219 Grid loss:  0.0000329 
Iteration 750/50000, Fitting loss:  0.0004236 Grid loss:  0.0000321 
Iteration 800/50000, Fitting loss:  0.0004207 Grid loss:  0.0000308 
Iteration 850/50000, Fitting loss:  0.0004215 Grid loss:  0.0000310 
Iteration 900/50000, Fitting loss:  0.0004161 Grid loss:  0.0000290 
Iteration 950/50000, Fitting loss:  0.0003796 Grid loss:  0.0000286 
Iteration 1000/50000, Fitting loss:  0.0003962 Grid loss:  0.0000283 
Iteration 1050/50000, Fitting loss:  0.0003420 Grid loss:  0.0000272 
Iteration 1100/50000, Fitting loss:  0.0003458 Grid loss:  0.0000267 
Iteration 1150/50000, Fitting loss:  0.0003789 Grid loss:  0.0000260 
Iteration 1200/50000, Fitting loss:  0.0003830 Grid loss:  0.0000253 
Iteration 1250/50000, Fitting loss:  0.0003319 Grid loss:  0.0000248 
Iteration 1300/50000, Fitting loss:  0.0003308 Grid loss:  0.0000243 
Iteration 1350/50000, Fitting loss:  0.0003114 Grid loss:  0.0000233 
Iteration 1400/50000, Fitting loss:  0.0003215 Grid loss:  0.0000224 
Iteration 1450/50000, Fitting loss:  0.0003146 Grid loss:  0.0000220 
Iteration 1500/50000, Fitting loss:  0.0003284 Grid loss:  0.0000230 
Iteration 1550/50000, Fitting loss:  0.0003512 Grid loss:  0.0000223 
Iteration 1600/50000, Fitting loss:  0.0003236 Grid loss:  0.0000224 
Iteration 1650/50000, Fitting loss:  0.0003305 Grid loss:  0.0000219 
Iteration 1700/50000, Fitting loss:  0.0003205 Grid loss:  0.0000210 
Iteration 1750/50000, Fitting loss:  0.0003305 Grid loss:  0.0000208 
Iteration 1800/50000, Fitting loss:  0.0003104 Grid loss:  0.0000205 
Iteration 1850/50000, Fitting loss:  0.0003085 Grid loss:  0.0000206 
Iteration 1900/50000, Fitting loss:  0.0002792 Grid loss:  0.0000198 
Iteration 1950/50000, Fitting loss:  0.0003137 Grid loss:  0.0000189 
