Data: torch.Size([1, 1, 1000, 1000, 1000]) from full extents (1000, 1000, 1000). IO time loading data:  3.8187
APMGSRN(
  (encoder): APMG_encoder()
  (decoder): Network(n_input_dims=32, n_output_dims=1, seed=1337, dtype=torch.float16, hyperparams={'encoding': {'offset': 0.0, 'otype': 'Identity', 'scale': 1.0}, 'network': {'activation': 'ReLU', 'n_hidden_layers': 2, 'n_neurons': 64, 'otype': 'FullyFusedMLP', 'output_activation': 'None'}, 'otype': 'NetworkWithInputEncoding'})
)
Training on cuda:0 C:\Users\Sky\Documents\GitHub\AMGSRN\Code\..\SavedModels\40_40_40res_4feats
Iteration 0/50000, Fitting loss:  0.0460840 
Iteration 50/50000, Fitting loss:  0.0007490 
Iteration 100/50000, Fitting loss:  0.0005343 
Iteration 150/50000, Fitting loss:  0.0003879 
Iteration 200/50000, Fitting loss:  0.0003566 
Iteration 250/50000, Fitting loss:  0.0003102 
Iteration 300/50000, Fitting loss:  0.0002845 
Iteration 350/50000, Fitting loss:  0.0002648 
Iteration 400/50000, Fitting loss:  0.0002470 
Iteration 450/50000, Fitting loss:  0.0002325 
Iteration 500/50000, Fitting loss:  0.0002324 
Iteration 550/50000, Fitting loss:  0.0004475 Grid loss:  0.0000355 
Iteration 600/50000, Fitting loss:  0.0004277 Grid loss:  0.0000355 
Iteration 650/50000, Fitting loss:  0.0004975 Grid loss:  0.0000349 
Iteration 700/50000, Fitting loss:  0.0004057 Grid loss:  0.0000342 
Iteration 750/50000, Fitting loss:  0.0004307 Grid loss:  0.0000334 
Iteration 800/50000, Fitting loss:  0.0004151 Grid loss:  0.0000331 
Iteration 850/50000, Fitting loss:  0.0004123 Grid loss:  0.0000328 
Iteration 900/50000, Fitting loss:  0.0004414 Grid loss:  0.0000312 
Iteration 950/50000, Fitting loss:  0.0004006 Grid loss:  0.0000308 
Iteration 1000/50000, Fitting loss:  0.0003885 Grid loss:  0.0000294 
Iteration 1050/50000, Fitting loss:  0.0003787 Grid loss:  0.0000290 
Iteration 1100/50000, Fitting loss:  0.0003859 Grid loss:  0.0000283 
Iteration 1150/50000, Fitting loss:  0.0004237 Grid loss:  0.0000277 
Iteration 1200/50000, Fitting loss:  0.0003864 Grid loss:  0.0000270 
Iteration 1250/50000, Fitting loss:  0.0003786 Grid loss:  0.0000256 
Iteration 1300/50000, Fitting loss:  0.0003766 Grid loss:  0.0000251 
Iteration 1350/50000, Fitting loss:  0.0003524 Grid loss:  0.0000244 
Iteration 1400/50000, Fitting loss:  0.0003257 Grid loss:  0.0000235 
Iteration 1450/50000, Fitting loss:  0.0003325 Grid loss:  0.0000233 
Iteration 1500/50000, Fitting loss:  0.0003407 Grid loss:  0.0000229 
Iteration 1550/50000, Fitting loss:  0.0003387 Grid loss:  0.0000227 
Iteration 1600/50000, Fitting loss:  0.0002904 Grid loss:  0.0000219 
Iteration 1650/50000, Fitting loss:  0.0002714 Grid loss:  0.0000215 
Iteration 1700/50000, Fitting loss:  0.0003329 Grid loss:  0.0000219 
Iteration 1750/50000, Fitting loss:  0.0002793 Grid loss:  0.0000213 
