Data: torch.Size([1, 1, 1000, 1000, 1000]) from full extents (1000, 1000, 1000). IO time loading data:  3.8769
APMGSRN(
  (encoder): APMG_encoder()
  (decoder): Network(n_input_dims=32, n_output_dims=1, seed=1337, dtype=torch.float16, hyperparams={'encoding': {'offset': 0.0, 'otype': 'Identity', 'scale': 1.0}, 'network': {'activation': 'ReLU', 'n_hidden_layers': 2, 'n_neurons': 64, 'otype': 'FullyFusedMLP', 'output_activation': 'None'}, 'otype': 'NetworkWithInputEncoding'})
)
Training on cuda:0 C:\Users\Sky\Documents\GitHub\AMGSRN\Code\..\SavedModels\asteroid_large_4
Iteration 0/50000, Fitting loss:  0.0460840 
Iteration 50/50000, Fitting loss:  0.0008193 
Iteration 100/50000, Fitting loss:  0.0003618 
Iteration 150/50000, Fitting loss:  0.0002732 
Iteration 200/50000, Fitting loss:  0.0002547 
Iteration 250/50000, Fitting loss:  0.0002375 
Iteration 300/50000, Fitting loss:  0.0002613 
Iteration 350/50000, Fitting loss:  0.0002381 
Iteration 400/50000, Fitting loss:  0.0002277 
Iteration 450/50000, Fitting loss:  0.0002281 
Iteration 500/50000, Fitting loss:  0.0002101 
Iteration 550/50000, Fitting loss:  0.0004945 Grid loss:  0.0000352 
Iteration 600/50000, Fitting loss:  0.0004785 Grid loss:  0.0000353 
Iteration 650/50000, Fitting loss:  0.0005160 Grid loss:  0.0000346 
Iteration 700/50000, Fitting loss:  0.0004754 Grid loss:  0.0000331 
Iteration 750/50000, Fitting loss:  0.0005652 Grid loss:  0.0000316 
Iteration 800/50000, Fitting loss:  0.0004684 Grid loss:  0.0000316 
Iteration 850/50000, Fitting loss:  0.0005323 Grid loss:  0.0000310 
Iteration 900/50000, Fitting loss:  0.0004531 Grid loss:  0.0000310 
Iteration 950/50000, Fitting loss:  0.0004337 Grid loss:  0.0000307 
Iteration 1000/50000, Fitting loss:  0.0004472 Grid loss:  0.0000304 
Iteration 1050/50000, Fitting loss:  0.0004764 Grid loss:  0.0000296 
Iteration 1100/50000, Fitting loss:  0.0004983 Grid loss:  0.0000291 
Iteration 1150/50000, Fitting loss:  0.0004665 Grid loss:  0.0000281 
Iteration 1200/50000, Fitting loss:  0.0004825 Grid loss:  0.0000265 
Iteration 1250/50000, Fitting loss:  0.0004028 Grid loss:  0.0000263 
Iteration 1300/50000, Fitting loss:  0.0004138 Grid loss:  0.0000259 
Iteration 1350/50000, Fitting loss:  0.0003895 Grid loss:  0.0000256 
Iteration 1400/50000, Fitting loss:  0.0004018 Grid loss:  0.0000251 
Iteration 1450/50000, Fitting loss:  0.0004068 Grid loss:  0.0000241 
Iteration 1500/50000, Fitting loss:  0.0003791 Grid loss:  0.0000243 
Iteration 1550/50000, Fitting loss:  0.0004157 Grid loss:  0.0000226 
Iteration 1600/50000, Fitting loss:  0.0003887 Grid loss:  0.0000227 
Iteration 1650/50000, Fitting loss:  0.0003683 Grid loss:  0.0000224 
Iteration 1700/50000, Fitting loss:  0.0004268 Grid loss:  0.0000225 
Iteration 1750/50000, Fitting loss:  0.0003432 Grid loss:  0.0000215 
Iteration 1800/50000, Fitting loss:  0.0004050 Grid loss:  0.0000221 
Iteration 1850/50000, Fitting loss:  0.0004183 Grid loss:  0.0000216 
Iteration 1900/50000, Fitting loss:  0.0004463 Grid loss:  0.0000218 
Iteration 1950/50000, Fitting loss:  0.0004171 Grid loss:  0.0000209 
Iteration 2000/50000, Fitting loss:  0.0004596 Grid loss:  0.0000215 
Iteration 2050/50000, Fitting loss:  0.0003310 Grid loss:  0.0000206 
Iteration 2100/50000, Fitting loss:  0.0003680 Grid loss:  0.0000203 
Iteration 2150/50000, Fitting loss:  0.0003699 Grid loss:  0.0000200 
Iteration 2200/50000, Fitting loss:  0.0004267 Grid loss:  0.0000203 
Iteration 2250/50000, Fitting loss:  0.0003831 Grid loss:  0.0000193 
Iteration 2300/50000, Fitting loss:  0.0003495 Grid loss:  0.0000188 
Iteration 2350/50000, Fitting loss:  0.0003687 Grid loss:  0.0000195 
Iteration 2400/50000, Fitting loss:  0.0004114 Grid loss:  0.0000190 
Iteration 2450/50000, Fitting loss:  0.0003979 Grid loss:  0.0000190 
Iteration 2500/50000, Fitting loss:  0.0004061 Grid loss:  0.0000193 
Iteration 2550/50000, Fitting loss:  0.0003813 Grid loss:  0.0000190 
