Data: torch.Size([1, 1, 1000, 1000, 1000]) from full extents (1000, 1000, 1000). IO time loading data:  3.8021
APMGSRN(
  (encoder): APMG_encoder()
  (decoder): Network(n_input_dims=32, n_output_dims=1, seed=1337, dtype=torch.float16, hyperparams={'encoding': {'offset': 0.0, 'otype': 'Identity', 'scale': 1.0}, 'network': {'activation': 'ReLU', 'n_hidden_layers': 2, 'n_neurons': 64, 'otype': 'FullyFusedMLP', 'output_activation': 'None'}, 'otype': 'NetworkWithInputEncoding'})
)
Training on cuda:0 C:\Users\Sky\Documents\GitHub\AMGSRN\Code\..\SavedModels\asteroid_medium_3
Iteration 0/50000, Fitting loss:  0.0460840 
Iteration 50/50000, Fitting loss:  0.0007203 
Iteration 100/50000, Fitting loss:  0.0005327 
Iteration 150/50000, Fitting loss:  0.0003997 
Iteration 200/50000, Fitting loss:  0.0003465 
Iteration 250/50000, Fitting loss:  0.0003133 
Iteration 300/50000, Fitting loss:  0.0002913 
Iteration 350/50000, Fitting loss:  0.0002754 
Iteration 400/50000, Fitting loss:  0.0002525 
Iteration 450/50000, Fitting loss:  0.0002557 
Iteration 500/50000, Fitting loss:  0.0003938 
Iteration 550/50000, Fitting loss:  0.0004646 Grid loss:  0.0000355 
Iteration 600/50000, Fitting loss:  0.0004553 Grid loss:  0.0000358 
Iteration 650/50000, Fitting loss:  0.0004472 Grid loss:  0.0000344 
Iteration 700/50000, Fitting loss:  0.0004365 Grid loss:  0.0000333 
Iteration 750/50000, Fitting loss:  0.0004874 Grid loss:  0.0000329 
Iteration 800/50000, Fitting loss:  0.0004145 Grid loss:  0.0000319 
Iteration 850/50000, Fitting loss:  0.0004249 Grid loss:  0.0000313 
Iteration 900/50000, Fitting loss:  0.0004317 Grid loss:  0.0000300 
Iteration 950/50000, Fitting loss:  0.0003910 Grid loss:  0.0000294 
Iteration 1000/50000, Fitting loss:  0.0003932 Grid loss:  0.0000290 
Iteration 1050/50000, Fitting loss:  0.0003585 Grid loss:  0.0000276 
Iteration 1100/50000, Fitting loss:  0.0004216 Grid loss:  0.0000268 
Iteration 1150/50000, Fitting loss:  0.0004124 Grid loss:  0.0000260 
Iteration 1200/50000, Fitting loss:  0.0003717 Grid loss:  0.0000261 
