Data: torch.Size([1, 1, 1000, 1000, 1000]) from full extents (1000, 1000, 1000). IO time loading data:  4.4839
APMGSRN(
  (encoder): APMG_encoder()
  (decoder): Network(n_input_dims=32, n_output_dims=1, seed=1337, dtype=torch.float16, hyperparams={'encoding': {'offset': 0.0, 'otype': 'Identity', 'scale': 1.0}, 'network': {'activation': 'ReLU', 'n_hidden_layers': 2, 'n_neurons': 64, 'otype': 'FullyFusedMLP', 'output_activation': 'None'}, 'otype': 'NetworkWithInputEncoding'})
)
Training on cuda:0 C:\Users\Sky\Documents\GitHub\AMGSRN\Code\..\SavedModels\temp
Iteration 0/50000, Fitting loss:  0.0460840 
Iteration 50/50000, Fitting loss:  0.0006478 
Iteration 100/50000, Fitting loss:  0.0004469 
Iteration 150/50000, Fitting loss:  0.0003358 
Iteration 200/50000, Fitting loss:  0.0003227 
Iteration 250/50000, Fitting loss:  0.0003027 
Iteration 300/50000, Fitting loss:  0.0002923 
Iteration 350/50000, Fitting loss:  0.0002800 
Iteration 400/50000, Fitting loss:  0.0002642 
Iteration 450/50000, Fitting loss:  0.0002558 
Iteration 500/50000, Fitting loss:  0.0002767 
Iteration 550/50000, Fitting loss:  0.0004511 Grid loss:  0.0000360 
Iteration 600/50000, Fitting loss:  0.0004620 Grid loss:  0.0000351 
Iteration 650/50000, Fitting loss:  0.0004870 Grid loss:  0.0000345 
Iteration 700/50000, Fitting loss:  0.0004329 Grid loss:  0.0000333 
Iteration 750/50000, Fitting loss:  0.0004497 Grid loss:  0.0000328 
Iteration 800/50000, Fitting loss:  0.0003933 Grid loss:  0.0000320 
Iteration 850/50000, Fitting loss:  0.0004068 Grid loss:  0.0000312 
Iteration 900/50000, Fitting loss:  0.0004038 Grid loss:  0.0000305 
Iteration 950/50000, Fitting loss:  0.0004014 Grid loss:  0.0000298 
Iteration 1000/50000, Fitting loss:  0.0003899 Grid loss:  0.0000295 
Iteration 1050/50000, Fitting loss:  0.0003412 Grid loss:  0.0000281 
Iteration 1100/50000, Fitting loss:  0.0003542 Grid loss:  0.0000272 
Iteration 1150/50000, Fitting loss:  0.0003885 Grid loss:  0.0000268 
Iteration 1200/50000, Fitting loss:  0.0003682 Grid loss:  0.0000264 
Iteration 1250/50000, Fitting loss:  0.0003183 Grid loss:  0.0000254 
Iteration 1300/50000, Fitting loss:  0.0003379 Grid loss:  0.0000251 
Iteration 1350/50000, Fitting loss:  0.0003910 Grid loss:  0.0000248 
Iteration 1400/50000, Fitting loss:  0.0003124 Grid loss:  0.0000233 
Iteration 1450/50000, Fitting loss:  0.0003648 Grid loss:  0.0000229 
Iteration 1500/50000, Fitting loss:  0.0003130 Grid loss:  0.0000231 
Iteration 1550/50000, Fitting loss:  0.0003293 Grid loss:  0.0000225 
Iteration 1600/50000, Fitting loss:  0.0003954 Grid loss:  0.0000223 
Iteration 1650/50000, Fitting loss:  0.0002693 Grid loss:  0.0000218 
Iteration 1700/50000, Fitting loss:  0.0002945 Grid loss:  0.0000226 
Iteration 1750/50000, Fitting loss:  0.0002890 Grid loss:  0.0000222 
Iteration 1800/50000, Fitting loss:  0.0002365 Grid loss:  0.0000213 
Iteration 1850/50000, Fitting loss:  0.0003043 Grid loss:  0.0000220 
Iteration 1900/50000, Fitting loss:  0.0002882 Grid loss:  0.0000211 
Iteration 1950/50000, Fitting loss:  0.0004101 Grid loss:  0.0000221 
Iteration 2000/50000, Fitting loss:  0.0002643 Grid loss:  0.0000203 
Iteration 2050/50000, Fitting loss:  0.0005082 Grid loss:  0.0000234 
Iteration 2100/50000, Fitting loss:  0.0002985 Grid loss:  0.0000204 
Iteration 2150/50000, Fitting loss:  0.0002853 Grid loss:  0.0000202 
Iteration 2200/50000, Fitting loss:  0.0002622 Grid loss:  0.0000194 
Iteration 2250/50000, Fitting loss:  0.0002835 Grid loss:  0.0000187 
Iteration 2300/50000, Fitting loss:  0.0002507 Grid loss:  0.0000190 
Iteration 2350/50000, Fitting loss:  0.0002540 Grid loss:  0.0000194 
Iteration 2400/50000, Fitting loss:  0.0004529 Grid loss:  0.0000188 
Iteration 2450/50000, Fitting loss:  0.0002668 Grid loss:  0.0000185 
Iteration 2500/50000, Fitting loss:  0.0003048 Grid loss:  0.0000189 
Iteration 2550/50000, Fitting loss:  0.0002654 Grid loss:  0.0000190 
Iteration 2600/50000, Fitting loss:  0.0002482 Grid loss:  0.0000182 
Iteration 2650/50000, Fitting loss:  0.0003641 Grid loss:  0.0000197 
Iteration 2700/50000, Fitting loss:  0.0003434 Grid loss:  0.0000186 
Iteration 2750/50000, Fitting loss:  0.0003251 Grid loss:  0.0000202 
Iteration 2800/50000, Fitting loss:  0.0002482 Grid loss:  0.0000177 
Iteration 2850/50000, Fitting loss:  0.0002315 Grid loss:  0.0000178 
